,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Clostridium_IV,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium_XlVa,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiracea_incertae_sedis,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella,k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Butyricicoccus,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Dialister,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_Incertae_Sedis_XIII;g__Anaerovorax,k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__Elusimicrobiales;f__Elusimicrobiaceae;g__Elusimicrobium,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Xylanibacter,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Anaerovibrio,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Butyrivibrio,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Subdoligranulum,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Oribacterium,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella,k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Catenibacterium,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Flavonifractor,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Megamonas,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Odoribacter,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea,k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelotrichaceae_incertae_sedis,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Clostridium_XI,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Sporobacter,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Ruminococcus2,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillibacter,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Howardella,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Pseudoflavonifractor,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Butyricimonas,k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium_XVIII
ob_zupancic-216,0.0,0.0,0.01525054466230937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016339869281045752,0.0,0.0,0.017429193899782137,0.0,0.0,0.0,0.025599128540305015,0.369281045751634,0.0,0.0,0.0,0.0,0.1786492374727669,0.20315904139433552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017429193899782137,0.04357298474945534,0.0,0.0,0.10457516339869281,0.0,0.00980392156862745,0.0,0.0032679738562091504,0.0,0.0,0.0,0.0,0.0
ob_zupancic-p40s1,0.0,0.0,0.008620689655172414,0.015086206896551725,0.008620689655172414,0.0,0.0,0.0,0.0,0.0,0.02478448275862069,0.0,0.0,0.0,0.09698275862068965,0.04525862068965517,0.0,0.0,0.00646551724137931,0.0,0.0,0.07435344827586207,0.0,0.0,0.06142241379310345,0.28663793103448276,0.0021551724137931034,0.0,0.0,0.0,0.0,0.0,0.009698275862068966,0.0,0.07866379310344827,0.10883620689655173,0.0,0.0010775862068965517,0.028017241379310345,0.06681034482758622,0.02693965517241379,0.0,0.0,0.0,0.0,0.011853448275862068,0.0,0.0
ob_zupancic-212,0.0,0.0,0.002372479240806643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002372479240806643,0.0,0.0,0.0,0.6014234875444839,0.0,0.0,0.0,0.0011862396204033216,0.0,0.0,0.0,0.0,0.010676156583629894,0.0,0.3487544483985765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004744958481613286,0.0,0.0
ob_zupancic-213,0.0,0.0,0.027922077922077924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17402597402597403,0.11688311688311688,0.0,0.0,0.03441558441558441,0.0,0.0,0.0,0.014285714285714285,0.0025974025974025974,0.4305194805194805,0.0,0.014285714285714287,0.0,0.0,0.0,0.0,0.0,0.0,0.001948051948051948,0.0,0.030519480519480523,0.0,0.0,0.01038961038961039,0.03766233766233766,0.0,0.0,0.0012987012987012987,0.003896103896103896,0.0,0.014935064935064935,0.0,0.0
ob_zupancic-210,0.0,0.0,0.002442002442002442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001221001221001221,0.0,0.0,0.0,0.0757020757020757,0.018315018315018316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001221001221001221,0.07081807081807082,0.003663003663003663,0.006105006105006105,0.0,0.0,0.0,0.0,0.0,0.004884004884004884,0.004884004884004884,0.0,0.03418803418803419,0.0,0.0,0.0,0.036630036630036625,0.0463980463980464,0.0,0.0,0.07448107448107448,0.001221001221001221,0.001221001221001221,0.0,0.0
ob_zupancic-211,0.0,0.0,0.0,0.0068669527896995704,0.0,0.0,0.0,0.0,0.0,0.0,0.005150214592274678,0.0,0.0,0.0,0.24377682403433476,0.0034334763948497852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0351931330472103,0.2695278969957081,0.0,0.0,0.0,0.0,0.0034334763948497852,0.0,0.0,0.0,0.029184549356223177,0.0017167381974248926,0.0,0.0,0.006008583690987125,0.023175965665236054,0.005150214592274678,0.0,0.0,0.0,0.004291845493562232,0.0008583690987124463,0.0,0.0
ob_zupancic-p81s1,0.0,0.00019212295869356388,0.11604226705091261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015561959654178675,0.0,0.0,0.0,0.027857829010566763,0.001729106628242075,0.00038424591738712776,0.0,0.0005763688760806917,0.0024975984630163308,0.036119116234390014,0.6803073967339097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038424591738712776,0.0,0.017098943323727186,0.0,0.0,0.0484149855907781,0.010182516810758886,0.0009606147934678194,0.0,0.0011527377521613833,0.001536983669548511,0.0,0.0005763688760806917,0.0,0.0
ob_zupancic-p39s1,0.0,0.0,0.04156674660271783,0.0,0.0,0.0,0.0,0.0007993605115907274,0.0,0.0,0.04156674660271782,0.0,0.0,0.0,0.23061550759392488,0.0,0.0,0.0,0.013189448441247,0.011191047162270184,0.0,0.0,0.0,0.0015987210231814548,0.11470823341326938,0.1262989608313349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27058353317346123,0.036370903277378096,0.0,0.0,0.02078337330135891,0.026778577138289367,0.009592326139088728,0.0,0.0,0.016386890487609912,0.0,0.005195843325339728,0.0,0.0
ob_zupancic-219,0.0,0.0,0.002098635886673662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8473242392444911,0.0,0.0,0.0,0.05036726128016789,0.0,0.0,0.0,0.0,0.0,0.04774396642182581,0.0005246589716684155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024134312696747113,0.019412381951731374,0.0,0.0,0.0,0.004197271773347324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ob_zupancic-p6s1,0.0,0.0,0.056818181818181816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11136363636363636,0.05454545454545455,0.0,0.08409090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004545454545454545,0.0,0.0
